,team_number,ELO,Qualification_matches_played
435,5356,1500,0
436,5361,1500,0
437,5363,1500,0
438,5383,1500,0
439,5384,1500,0
440,5385,1500,0
441,5386,1500,0
442,5387,1500,0
443,5389,1500,0
444,5390,1500,0
445,5395,1500,0
446,5397,1500,0
447,5398,1500,0
448,5404,1500,0
449,5411,1500,0
450,5421,1500,0
451,5422,1500,0
452,5429,1500,0
453,5436,1500,0
454,5437,1500,0
455,5439,1500,0
456,5440,1500,0
457,5445,1500,0
458,5467,1500,0
459,5470,1500,0
460,5477,1500,0
461,5481,1500,0
462,5484,1500,0
463,5485,1500,0
464,5488,1500,0
465,5495,1500,0
466,5498,1500,0
467,5501,1500,0
468,5505,1500,0
469,5514,1500,0
470,5518,1500,0
471,5527,1500,0
472,5543,1500,0
473,5549,1500,0
474,5553,1500,0
475,5559,1500,0
476,5560,1500,0
477,5573,1500,0
478,5598,1500,0
479,5604,1500,0
480,5618,1500,0
481,5619,1500,0
482,5627,1500,0
483,5628,1500,0
484,5641,1500,0
485,5661,1500,0
486,5663,1500,0
487,5667,1500,0
488,5670,1500,0
489,5681,1500,0
490,5683,1500,0
491,5686,1500,0
492,5703,1500,0
493,5709,1500,0
494,5710,1500,0
495,5713,1500,0
496,5717,1500,0
497,5738,1500,0
498,5741,1500,0
499,5754,1500,0
500,5762,1500,0
501,5772,1500,0
502,5773,1500,0
503,5784,1500,0
504,5795,1500,0
505,5828,1500,0
506,5843,1500,0
507,5881,1500,0
508,5889,1500,0
509,5890,1500,0
510,5891,1500,0
511,5893,1500,0
512,5897,1500,0
513,5898,1500,0
514,5899,1500,0
515,5902,1500,0
516,5904,1500,0
517,5905,1500,0
518,5906,1500,0
519,5907,1500,0
520,5911,1500,0
521,5913,1500,0
522,5919,1500,0
523,5921,1500,0
524,5951,1500,0
525,5953,1500,0
526,5954,1500,0
527,5957,1500,0
528,5960,1500,0
529,5962,1500,0
530,5967,1500,0
531,5968,1500,0
532,5971,1500,0
533,5975,1500,0
534,5976,1500,0
535,5979,1500,0
536,5980,1500,0
537,6010,1500,0
538,6016,1500,0
539,6025,1500,0
540,6032,1500,0
541,6037,1500,0
542,6038,1500,0
543,6040,1500,0
544,6042,1500,0
545,6047,1500,0
546,6050,1500,0
547,6051,1500,0
548,6055,1500,0
549,6069,1500,0
550,6072,1500,0
551,6073,1500,0
552,6078,1500,0
553,6079,1500,0
554,6085,1500,0
555,6088,1500,0
556,6090,1500,0
557,6093,1500,0
558,6101,1500,0
559,6102,1500,0
560,6103,1500,0
561,6121,1500,0
562,6128,1500,0
563,6133,1500,0
564,6134,1500,0
565,6147,1500,0
566,6155,1500,0
567,6158,1500,0
568,6163,1500,0
569,6165,1500,0
570,6168,1500,0
571,6169,1500,0
572,6174,1500,0
573,6175,1500,0
574,6183,1500,0
575,6184,1500,0
576,6188,1500,0
577,6189,1500,0
578,6190,1500,0
579,6191,1500,0
580,6194,1500,0
581,6198,1500,0
582,6199,1500,0
583,6200,1500,0
